target,gender_F,income_high,income_low,country_USA,country_India,country_UK,age,time_since_last_gift,time_since_first_gift,max_gift,min_gift,mean_gift,number_gift,time_since_first_and_last_gift,one_time_donor,sum_gift,mean_gift_per_time
0,1,0,1,0,1,0,65,530,2265,166.0,87.0,116.0,7,1735,0,812.0,0.4680115273775216
0,1,0,0,0,1,0,71,715,715,90.0,90.0,90.0,1,0,1,90.0,0.0
0,1,0,0,0,1,0,28,150,1806,125.0,74.0,96.0,9,1656,0,864.0,0.5217391304347826
0,1,0,1,1,0,0,52,725,2274,117.0,97.0,104.25,4,1549,0,417.0,0.26920593931568754
0,1,1,0,1,0,0,82,805,805,80.0,80.0,80.0,1,0,1,80.0,0.0
0,1,1,0,1,0,0,42,907,2287,114.0,67.0,86.66666666666669,6,1380,0,520.0000000000001,0.3768115942028986
0,0,0,0,1,0,0,52,673,2212,118.0,72.0,93.25,4,1539,0,373.0,0.24236517218973358
0,0,0,0,1,0,0,72,710,2455,111.0,74.0,98.5,6,1745,0,591.0,0.3386819484240688
0,1,1,0,0,1,0,77,813,2336,53.0,46.0,50.5,4,1523,0,202.0,0.13263296126066973
0,1,0,0,0,0,1,48,812,2718,107.0,74.0,88.33333333333331,9,1906,0,794.9999999999998,0.41710388247639024
0,0,0,0,0,1,0,41,1240,2045,99.0,62.0,80.5,2,805,0,161.0,0.2
0,1,0,1,0,1,0,22,1102,2276,134.0,84.0,103.0,6,1174,0,618.0,0.5264054514480409
0,0,0,0,0,1,0,60,694,2200,107.0,54.0,77.83333333333333,6,1506,0,467.0,0.3100929614873838
0,1,0,0,0,1,0,45,1085,1989,93.0,70.0,81.5,2,904,0,163.0,0.18030973451327434
0,0,1,0,1,0,0,46,552,2666,152.0,101.0,126.88888888888889,9,2114,0,1142.0,0.5402081362346263
0,0,0,0,1,0,0,48,1047,2745,109.0,69.0,83.6,5,1698,0,418.0,0.24617196702002356
0,0,0,0,0,1,0,50,1328,2596,91.0,51.0,70.4,5,1268,0,352.0,0.277602523659306
0,0,0,0,0,1,0,45,432,2297,103.0,93.0,99.0,3,1865,0,297.0,0.15924932975871314
0,0,0,0,0,1,0,88,1119,1865,89.0,49.0,68.25,4,746,0,273.0,0.36595174262734587
0,0,0,0,0,1,0,70,870,1915,128.0,61.0,94.5,2,1045,0,189.0,0.18086124401913875
0,0,0,0,0,1,0,93,644,2595,106.0,51.0,90.0,6,1951,0,540.0,0.2767811378780113
0,0,0,0,1,0,0,23,612,2722,120.0,90.0,101.0,3,2110,0,303.0,0.14360189573459717
